stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Hamburg Herbstsweg,203520,478913,53.59541,10.050118,
Hamburg Herbstsweg,203520,561083,53.59485,10.050217,
Hamburg Holstenstraße,604345,618773,53.561764,9.949739,
Hamburg Horner Rennbahn,639179,165659,53.55353,10.084282,
Hamburg Horner Rennbahn,639179,214848,53.553864,10.084236,
Hamburg Horner Rennbahn,639179,215579,53.553997,10.084227,
Hamburg Hovestieg,74952,102452,53.525127,10.021614,
Hamburg Hovestieg,74952,188748,53.524452,10.021749,
Hamburg Hovestieg,74952,37208,53.525326,10.021938,
Hamburg Hovestieg,74952,630186,53.525063,10.021857,
Hamburg Hudtwalckerstraße,406108,328651,53.59483,9.996075,
Hamburg Hudtwalckerstraße,406108,371593,53.59481,9.995949,
Hamburg Im Grünen Grunde,477658,531691,53.62302,10.031487,
Hamburg Im Grünen Grunde,477658,572209,53.623108,10.031631,
Hamburg Immenhöven,449608,214180,53.66083,10.021722,
Hamburg Joachim-Mähl-Straße,478102,44476,53.629017,9.949893,
Hamburg Joachim-Mähl-Straße,478102,560241,53.62901,9.949812,
Hamburg Jungfernstieg,180170,146325,53.553146,9.994467,
Hamburg Jungfernstieg,180170,146647,53.552166,9.994054,
Hamburg Jungfernstieg,180170,166577,53.553413,9.994557,
Hamburg Jungfernstieg,180170,1953,53.55326,9.994566,
Hamburg Jungfernstieg,180170,198956,53.55209,9.993901,
Hamburg Kellinghusenstraße,601365,157330,53.58883,9.990577,
Hamburg Kellinghusenstraße,601365,451692,53.588676,9.990847,
Hamburg Kellinghusenstraße,601365,87638,53.588737,9.990739,
Hamburg Kiwittsmoor,572256,384971,53.675133,10.01582,
Hamburg Kiwittsmoor,572256,503871,53.675198,10.015973,
Hamburg Klein Borstel,177901,440529,53.628162,10.033265,
Hamburg Klein Borstel,177901,566181,53.628136,10.033122,
Hamburg Kleine Seilerstraße,138346,43224,53.551056,9.967967,
Hamburg Klosterstern,165913,196554,53.58158,9.988386,
Hamburg Klosterstern,165913,330287,53.581554,9.988233,
Hamburg Kriegerdankweg,571177,457680,53.632526,9.9084,
Hamburg Landungsbrücken Brücke 1,335870,240453,53.544785,9.971596,
Hamburg Landungsbrücken Brücke 1,335870,247673,53.544556,9.972189,
Hamburg Landungsbrücken Brücke 1,335870,59443,53.544636,9.972153,
Hamburg Landungsbrücken Brücke 2,580653,437127,53.545025,9.970617,
Hamburg Landungsbrücken Brücke 3,597371,574524,53.545097,9.969755,
Hamburg Langenhorn Markt,378597,100749,53.64895,10.017275,
Hamburg Langenhorn Markt,378597,460172,53.648968,10.017141,
Hamburg Langenhorn Nord,373778,209414,53.66057,10.017437,
Hamburg Langenhorn Nord,373778,636412,53.6606,10.017311,
Hamburg Lattenkamp (Sporthalle),31148,65854,53.599995,9.994566,
Hamburg Lattenkamp (Sporthalle),31148,83356,53.599995,9.994692,
Hamburg Lattenkampstieg,164617,201153,53.597225,9.997162,
Hamburg Legienstraße,172309,105798,53.547016,10.096767,
Hamburg Legienstraße,172309,478048,53.54676,10.096534,
Hamburg Lippeltstraße,242320,432192,53.545544,10.016287,
Hamburg Lippeltstraße,242320,452633,53.54569,10.015852,
Hamburg Lohmühlenstraße,439219,121020,53.556553,10.019009,
Hamburg Lohmühlenstraße,439219,578389,53.55662,10.018919,
Hamburg Lutterothstraße,248210,125185,53.582058,9.947737,
Hamburg Lutterothstraße,248210,288109,53.58207,9.947548,
Hamburg Lübecker Straße,562151,211788,53.559574,10.028864,
Hamburg Lübecker Straße,562151,524800,53.55953,10.02739,
Hamburg Maria-Louisen-Straße (Nord),546386,217718,53.591747,10.005957,
Hamburg Maxstraße,592703,414771,53.57085,10.048258,
Hamburg Maxstraße,592703,478491,53.572186,10.047414,
Hamburg Meiendorfer Weg,32841,191556,53.6388,10.1562,
Hamburg Meiendorfer Weg,32841,95918,53.63885,10.156083,
Hamburg Merkenstraße,196354,30793,53.538704,10.124669,
Hamburg Merkenstraße,196354,612345,53.53861,10.124678,
Hamburg Messe (Eingang Mitte),62936,475381,53.56191,9.975832,
Hamburg Messe (Eingang Mitte),62936,510535,53.56189,9.975952,
Hamburg Messehallen,323407,242337,53.558197,9.976788,
Hamburg Messehallen,323407,372972,53.55817,9.976609,
Hamburg Meßberg,171411,646694,53.54773,10.000746,
Hamburg Meßberg,171411,85911,53.547607,10.000719,
Hamburg Moorstieg,284941,267635,53.470642,9.920608,
Hamburg Mundsburg,199955,321893,53.56944,10.027543,
Hamburg Mümmelmannsberg,592721,329968,53.528725,10.150055,
Hamburg Nagelsweg,300679,494818,53.543438,10.022522,
Hamburg Nagelsweg,300679,62688,53.543324,10.022072,
Hamburg Neuhof,403575,560450,53.524166,9.940712,
Hamburg Neuländer Hauptdeich,377290,311646,53.470146,9.995383,
Hamburg Neuländer Hauptdeich,377290,70637,53.470055,9.995231,
Hamburg Niendorf Markt,434253,463591,53.619568,9.951537,
Hamburg Niendorf Markt,434253,90736,53.61959,9.951366,
Hamburg Niendorf Nord,376853,457359,53.6407,9.950225,
Hamburg Ochsenzoll,425678,393314,53.678005,10.001492,
Hamburg Ochsenzoll,425678,425308,53.67814,10.001438,
Hamburg Ohlsdorf,518692,280133,53.620716,10.03119,
Hamburg Ohlsdorf,518692,334769,53.620693,10.03155,
Hamburg Ohlstedt,285928,233542,53.694366,10.137192,
Hamburg Ohlstedt,285928,350929,53.694378,10.13703,
Hamburg Osterstraße,410421,535060,53.57614,9.951689,
Hamburg Parkstraße/Elbchaussee,360726,218573,53.54668,9.881378,
Hamburg Rauhes Haus,44843,174670,53.554146,10.066458,
Hamburg Rauhes Haus,44843,387003,53.55421,10.066296,
Hamburg Reeseberg,229235,522224,53.450752,9.987748,
Hamburg Ritterstraße,336558,112611,53.56769,10.046623,
Hamburg Ritterstraße,336558,59588,53.567608,10.046686,
Hamburg S Allermöhe,38805,552174,53.490536,10.158706,
Hamburg S Allermöhe,38805,553007,53.490112,10.158616,
